,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females
Country,Infectious and parasitic diseases,Respiratory Infectious ,Maternal conditions,Neonatal conditions,Nutritional deficiencies,Malignant neoplasms,Other neoplasms,Diabetes mellitus,"Endocrine, blood, immune disorders",Mental and substance use disorders,Neurological conditions,Sense organ diseases,Cardiovascular diseases,Respiratory diseases,Digestive diseases,Genitourinary diseases,Skin diseases,Musculoskeletal diseases,Congenital anomalies,Oral conditions,Sudden infant death syndrome,Unintentional injuries,Intentional injuries,Infectious and parasitic diseases,Respiratory Infectious ,Neonatal conditions,Nutritional deficiencies,Malignant neoplasms,Other neoplasms,Diabetes mellitus,"Endocrine, blood, immune disorders",Mental and substance use disorders,Neurological conditions,Sense organ diseases,Cardiovascular diseases,Respiratory diseases,Digestive diseases,Genitourinary diseases,Skin diseases,Musculoskeletal diseases,Congenital anomalies,Oral conditions,Sudden infant death syndrome,Unintentional injuries,Intentional injuries,Infectious and parasitic diseases,Respiratory Infectious ,Maternal conditions,Neonatal conditions,Nutritional deficiencies,Malignant neoplasms,Other neoplasms,Diabetes mellitus,"Endocrine, blood, immune disorders",Mental and substance use disorders,Neurological conditions,Sense organ diseases,Cardiovascular diseases,Respiratory diseases,Digestive diseases,Genitourinary diseases,Skin diseases,Musculoskeletal diseases,Congenital anomalies,Oral conditions,Sudden infant death syndrome,Unintentional injuries,Intentional injuries
Ireland,8.4,21.4,0.4,13.3,3.7,204.0,4.6,23.7,11.8,130.2,90.1,48.4,162.9,64.4,29.3,21.8,12.8,81.3,22.2,20.2,1.1,64.7,29.6,4.5,10.5,7.2,1.4,105.3,2.7,13.3,4.9,65.5,35.7,23.3,95.2,33.2,17.1,9.9,5.5,33.4,11.7,9.2,0.6,39.3,23.2,3.9,11.0,0.4,6.1,2.3,98.7,1.9,10.4,7.0,64.7,54.3,25.1,67.7,31.2,12.2,11.9,7.3,48.0,10.5,11.0,0.5,25.4,6.4
Israel,30.7,48.0,1.0,32.6,11.9,272.3,6.0,71.1,27.2,167.9,121.3,92.4,193.9,69.9,36.2,58.5,27.9,129.9,36.9,29.4,1.7,95.5,41.1,16.4,25.9,17.3,4.2,144.2,3.2,37.6,13.0,81.1,51.3,43.6,108.8,37.3,21.5,28.6,12.7,53.7,19.7,13.2,0.9,58.3,30.0,14.3,22.1,1.0,15.2,7.7,128.1,2.9,33.5,14.2,86.9,70.0,48.7,85.1,32.6,14.7,29.9,15.2,76.2,17.3,16.2,0.8,37.2,11.0
Italy,268.9,247.3,2.5,151.1,79.3,3500.1,147.0,579.1,223.5,1462.1,1400.2,1023.0,3352.1,712.7,521.3,404.9,159.3,1278.4,159.0,221.5,1.7,1019.1,211.6,150.7,124.4,78.8,27.5,1969.8,80.8,291.0,96.1,653.6,532.9,454.4,1727.5,390.1,304.1,184.3,66.4,523.8,83.6,98.3,0.9,574.6,151.1,118.2,122.9,2.5,72.3,51.8,1530.3,66.2,288.1,127.4,808.6,867.3,568.7,1624.6,322.6,217.1,220.6,92.9,754.6,75.4,123.2,0.7,444.6,60.5
Jamaica,61.9,15.4,2.8,49.8,15.9,95.3,4.3,66.9,8.9,59.3,36.1,37.2,112.6,23.8,16.5,29.3,11.3,41.4,17.7,9.3,0.4,35.8,66.7,42.4,8.1,27.3,6.0,51.3,2.1,28.9,4.2,29.2,15.5,17.5,56.2,14.1,9.8,14.4,5.3,17.4,9.0,4.2,0.3,24.5,52.2,19.6,7.3,2.8,22.5,9.9,44.0,2.2,38.0,4.6,30.1,20.6,19.7,56.4,9.6,6.7,14.9,6.0,23.9,8.7,5.1,0.1,11.3,14.5
Japan,380.1,1751.0,5.2,162.4,192.1,7330.4,219.0,1004.4,275.5,2575.4,2159.0,2210.2,5997.1,1989.7,1059.4,1138.7,354.3,2832.9,284.5,606.1,13.5,2098.1,980.3,202.0,993.7,82.1,40.8,4389.6,120.5,525.3,119.3,1232.4,821.5,1032.2,3180.2,1193.8,617.2,547.3,151.0,1250.7,143.7,301.0,7.7,1201.6,686.8,178.1,757.3,5.2,80.3,151.3,2940.8,98.5,479.2,156.2,1343.0,1337.5,1178.0,2817.0,795.9,442.2,591.4,203.3,1582.2,140.8,305.0,5.8,896.4,293.5
Jordan,55.4,68.3,8.4,201.2,35.6,147.5,6.0,96.1,26.2,176.9,101.8,73.5,335.5,53.7,44.5,80.0,22.2,102.1,128.3,16.0,1.3,233.1,35.6,29.7,35.3,109.3,13.0,77.6,3.2,51.0,11.2,92.6,44.7,37.4,194.4,29.8,22.9,33.9,10.5,44.3,63.0,8.1,0.6,157.2,23.9,25.7,33.1,8.4,91.8,22.5,69.9,2.8,45.0,15.1,84.3,57.2,36.1,141.1,23.9,21.5,46.0,11.8,57.8,65.4,7.8,0.7,76.0,11.7
Kazakhstan,137.0,153.2,3.2,202.7,132.7,738.8,8.7,73.6,36.6,441.3,203.8,212.9,1668.0,195.1,347.6,132.2,41.5,198.1,118.2,59.7,8.0,623.2,288.5,83.9,97.5,114.3,46.9,389.4,3.8,32.2,18.5,252.6,78.6,94.2,937.3,118.0,220.6,55.5,18.6,83.0,66.6,24.8,4.3,433.4,235.3,53.1,55.7,3.2,88.5,85.9,349.5,4.9,41.4,18.1,188.8,125.3,118.7,730.8,77.1,127.0,76.7,22.8,115.1,51.6,34.9,3.8,189.9,53.2
Kenya,6925.3,1342.3,354.6,2824.4,651.3,953.1,23.6,131.8,133.9,833.1,340.9,469.3,628.4,220.7,304.0,173.3,189.4,321.8,697.2,81.2,32.2,1608.8,266.8,3919.6,708.5,1568.6,327.3,440.9,14.1,80.9,69.2,426.9,154.1,243.2,339.0,106.3,196.0,80.7,87.7,163.1,398.4,39.1,18.3,1106.7,205.9,3005.7,633.8,354.6,1255.8,324.0,512.2,9.5,50.9,64.7,406.1,186.7,226.1,289.4,114.5,108.0,92.5,101.7,158.7,298.7,42.1,13.9,502.1,60.9
Kiribati,5.2,3.6,0.2,6.4,1.9,2.7,0.0,3.5,0.5,2.0,1.1,1.4,6.4,2.3,1.8,1.1,0.5,1.2,2.1,0.1,0.1,2.3,1.8,2.7,1.9,3.3,0.8,1.3,0.0,1.7,0.3,1.1,0.5,0.6,3.9,1.4,1.0,0.4,0.3,0.5,1.5,0.1,0.0,1.4,1.4,2.5,1.7,0.2,3.0,1.1,1.4,0.0,1.8,0.2,0.9,0.7,0.7,2.5,0.9,0.8,0.7,0.3,0.7,0.5,0.1,0.1,1.0,0.4
Kuwait,24.8,30.6,0.6,25.7,12.8,51.6,2.1,27.7,5.5,103.3,38.2,33.2,151.5,21.7,14.4,21.5,9.6,57.7,29.4,10.1,0.9,85.0,13.3,16.2,17.1,14.0,4.6,26.8,1.1,16.1,2.5,57.9,18.5,19.0,113.4,12.5,8.1,8.9,5.0,29.4,15.5,5.9,0.4,67.1,9.8,8.6,13.5,0.6,11.6,8.1,24.7,1.0,11.6,3.0,45.3,19.7,14.2,38.1,9.1,6.3,12.6,4.6,28.3,13.9,4.2,0.5,18.0,3.5
Kyrgyzstan,72.1,78.5,6.4,147.1,44.3,127.1,4.3,21.3,10.6,137.6,64.5,68.3,419.0,45.8,106.4,43.9,14.8,59.9,62.5,15.4,1.7,154.8,49.2,44.9,43.9,82.9,16.5,66.4,2.1,10.1,5.3,81.7,31.0,32.2,245.5,26.1,70.7,19.9,6.9,24.9,32.2,6.8,0.9,107.1,38.3,27.2,34.6,6.4,64.2,27.8,60.7,2.1,11.2,5.3,55.9,33.5,36.1,173.5,19.7,35.7,24.0,7.9,35.0,30.3,8.5,0.8,47.7,10.9
Lao People's Democratic Republic,441.0,220.4,27.2,386.7,66.7,180.2,2.8,68.6,20.1,123.1,66.4,88.2,362.8,99.1,78.9,55.9,28.0,68.4,86.7,7.8,3.5,233.1,66.6,251.8,112.3,226.4,30.0,105.3,1.4,24.8,8.4,66.2,27.7,42.4,172.1,49.0,46.4,23.7,13.4,29.1,44.8,3.6,1.9,147.5,45.4,189.2,108.1,27.2,160.3,36.7,74.8,1.4,43.8,11.8,56.9,38.8,45.8,190.7,50.1,32.5,32.2,14.6,39.4,41.9,4.2,1.6,85.6,21.2
Latvia,15.2,13.7,0.3,6.2,2.3,137.9,2.5,19.1,3.9,58.7,31.1,37.9,286.5,14.8,33.6,18.5,5.9,38.1,8.4,8.4,0.6,67.7,23.7,9.3,8.8,2.9,0.9,76.8,1.0,8.3,1.3,30.3,12.0,14.7,146.5,9.0,19.9,7.6,2.5,14.6,4.1,3.2,0.3,44.4,19.0,5.9,5.0,0.3,3.3,1.5,61.1,1.5,10.8,2.6,28.3,19.1,23.2,140.0,5.8,13.7,10.9,3.4,23.6,4.2,5.2,0.3,23.3,4.7
Lebanon,34.2,21.9,1.9,39.3,16.9,167.5,8.2,67.5,12.1,152.7,114.5,78.9,371.6,55.8,36.8,47.4,18.3,79.5,36.8,16.9,0.9,106.2,79.3,18.2,10.6,19.6,6.4,85.5,4.9,42.7,5.3,73.0,49.8,39.2,212.7,26.8,21.2,17.9,8.7,33.1,16.8,8.6,0.4,71.8,54.1,16.0,11.3,1.9,19.7,10.5,82.0,3.3,24.8,6.8,79.7,64.7,39.8,158.9,28.9,15.6,29.5,9.6,46.4,20.0,8.2,0.5,34.4,25.2
Lesotho,775.5,115.5,24.8,200.4,34.7,47.8,1.9,38.6,12.8,52.9,25.4,24.1,97.8,36.7,19.5,17.1,7.6,18.5,35.9,4.1,2.1,88.3,73.7,387.4,57.5,114.8,16.5,23.6,1.2,15.1,5.9,27.2,11.6,11.0,39.3,19.2,9.9,7.4,3.4,8.4,20.0,1.8,1.1,55.7,50.1,388.1,58.0,24.8,85.6,18.2,24.2,0.8,23.4,6.8,25.7,13.8,13.1,58.5,17.5,9.6,9.7,4.2,10.1,16.0,2.3,1.0,32.5,23.7
Liberia,932.5,221.2,57.9,309.0,71.6,66.3,2.5,22.1,28.8,87.1,38.6,47.6,132.1,25.8,54.5,37.5,15.6,34.2,76.2,7.9,5.2,188.3,51.2,488.1,111.8,174.6,32.4,28.6,1.2,9.5,12.1,42.1,17.6,23.0,66.9,12.2,34.3,19.8,7.2,15.5,36.3,3.9,3.3,120.2,35.4,444.5,109.4,57.9,134.3,39.2,37.7,1.3,12.6,16.7,45.1,21.0,24.6,65.2,13.6,20.2,17.7,8.5,18.7,39.9,4.0,1.9,68.0,15.9
Libya,65.7,43.6,1.2,75.9,19.3,125.1,6.9,64.2,17.0,153.5,87.0,69.0,305.9,47.6,39.7,66.9,17.5,90.3,62.5,15.4,1.1,165.0,270.5,36.8,23.4,41.3,7.4,66.2,3.7,31.5,7.8,77.6,36.5,33.5,174.8,26.1,22.5,31.2,8.3,37.3,31.4,7.6,0.6,121.7,205.3,28.8,20.2,1.2,34.6,12.0,58.9,3.2,32.7,9.2,75.8,50.5,35.5,131.0,21.5,17.2,35.7,9.2,53.0,31.1,7.8,0.5,43.3,65.2
Lithuania,27.0,20.0,0.3,8.6,3.5,194.4,3.4,16.5,5.0,96.3,44.1,51.9,398.3,21.7,66.5,21.9,7.6,54.2,13.5,13.1,0.5,107.2,48.2,16.9,12.8,4.3,1.4,110.9,1.7,8.0,1.6,51.7,17.8,19.8,207.8,13.2,41.9,8.5,3.3,21.1,6.7,5.2,0.3,70.6,40.1,10.2,7.2,0.3,4.3,2.1,83.5,1.6,8.5,3.4,44.7,26.4,32.1,190.4,8.5,24.6,13.4,4.4,33.0,6.8,7.8,0.2,36.5,8.1
Luxembourg,1.4,2.2,0.0,1.4,0.6,25.0,0.7,3.6,1.4,15.1,10.5,6.5,22.1,6.9,4.5,3.0,1.6,10.9,1.8,2.8,0.1,9.7,3.2,0.8,1.1,0.7,0.2,14.0,0.4,2.0,0.5,7.2,4.2,3.1,12.4,3.6,2.8,1.4,0.7,4.6,0.9,1.3,0.0,5.8,2.3,0.6,1.1,0.0,0.7,0.4,11.0,0.3,1.6,0.9,7.9,6.3,3.4,9.7,3.3,1.8,1.6,0.9,6.3,0.9,1.5,0.0,3.8,0.9
Madagascar,2337.7,928.6,195.5,1247.7,610.1,535.8,14.8,100.5,62.5,470.4,177.2,270.6,929.1,287.1,213.3,103.8,91.7,172.7,333.6,29.3,16.8,941.5,169.1,1285.5,478.2,711.8,325.8,264.1,7.7,55.4,33.2,243.5,82.0,133.0,482.7,140.3,124.1,48.0,43.0,85.9,172.0,13.4,9.3,592.2,119.8,1052.3,450.4,195.5,535.9,284.3,271.7,7.1,45.0,29.3,226.9,95.1,137.6,446.4,146.8,89.2,55.8,48.6,86.8,161.6,15.9,7.4,349.3,49.4
Malawi,2942.9,577.9,143.6,1263.8,402.3,480.6,15.8,62.1,53.3,312.1,126.0,155.9,323.6,100.6,136.7,72.5,71.0,112.6,300.4,24.2,12.2,600.0,54.8,1598.6,315.7,711.4,211.9,246.6,10.4,36.4,30.0,163.7,56.8,78.7,168.8,48.4,85.6,35.5,33.2,55.8,168.8,11.6,7.2,403.4,39.0,1344.3,262.1,143.6,552.4,190.5,234.0,5.4,25.7,23.2,148.5,69.3,77.3,154.8,52.3,51.1,37.0,37.8,56.7,131.6,12.5,5.0,196.6,15.8
Malaysia,657.2,359.5,13.9,223.4,94.9,786.4,27.8,273.6,42.8,631.9,344.4,295.8,1341.3,298.8,180.7,190.6,127.0,357.3,150.4,61.3,2.2,650.1,162.1,487.2,203.6,123.4,33.6,398.0,16.1,132.0,21.3,331.9,148.1,146.8,804.6,181.1,114.6,78.9,61.7,151.0,69.8,27.0,1.2,479.9,123.8,170.0,155.9,13.9,99.9,61.3,388.5,11.8,141.6,21.5,300.1,196.3,149.0,536.7,117.7,66.1,111.7,65.3,206.3,80.6,34.4,1.1,170.2,38.3
Maldives,2.7,1.3,0.3,3.1,2.9,6.6,0.0,1.9,1.6,6.7,3.9,4.2,10.2,3.9,0.9,2.7,1.6,4.0,2.4,0.6,0.1,3.4,2.6,1.7,0.6,1.7,1.1,3.9,0.0,1.0,0.8,3.4,1.8,2.2,6.6,1.9,0.6,1.1,0.8,1.8,1.2,0.3,0.0,2.3,2.0,1.0,0.6,0.3,1.4,1.8,2.7,0.0,0.9,0.8,3.3,2.1,2.0,3.5,2.0,0.3,1.6,0.8,2.3,1.2,0.3,0.0,1.2,0.6
Mali,4654.2,1195.1,277.8,2309.4,821.6,338.7,7.7,90.8,191.0,300.8,157.3,183.8,687.7,216.7,277.4,184.4,63.9,117.9,392.2,26.6,20.4,947.5,214.7,2393.4,589.8,1289.1,387.5,128.1,4.7,35.4,79.7,161.7,77.4,87.2,295.5,119.8,166.7,98.1,29.6,52.5,190.5,12.8,13.0,619.7,157.7,2260.8,605.3,277.8,1020.2,434.0,210.6,2.9,55.4,111.3,139.1,79.9,96.6,392.2,96.9,110.7,86.3,34.3,65.4,201.7,13.9,7.4,327.8,57.0
Malta,0.8,2.9,0.0,1.8,0.3,21.2,0.4,4.3,1.0,10.3,7.7,5.6,24.0,4.8,2.5,2.5,1.3,8.6,1.9,2.1,0.0,6.0,1.8,0.5,1.5,1.0,0.1,12.0,0.2,2.4,0.4,4.8,3.1,2.6,13.4,2.8,1.4,1.1,0.6,3.6,1.0,1.0,0.0,3.6,1.4,0.3,1.5,0.0,0.9,0.2,9.2,0.3,1.9,0.6,5.5,4.6,2.9,10.6,2.0,1.0,1.4,0.8,5.0,0.9,1.1,0.0,2.4,0.4
Mauritania,496.4,227.3,57.9,427.8,94.8,60.9,2.8,21.3,25.2,74.5,42.8,51.8,143.3,30.5,56.0,40.0,16.4,34.9,73.1,8.0,4.9,162.2,40.8,266.4,132.9,246.5,45.9,27.4,1.5,8.6,10.2,40.4,20.1,24.8,69.5,15.6,33.8,19.2,7.7,15.9,34.9,3.9,3.3,103.5,29.8,230.0,94.3,57.9,181.3,48.9,33.6,1.4,12.6,15.0,34.1,22.7,27.0,73.8,14.9,22.1,20.8,8.7,19.0,38.2,4.1,1.6,58.7,11.0
Mauritius,14.9,7.6,0.5,11.1,9.9,34.6,2.1,71.1,4.6,28.4,16.0,19.4,80.8,26.0,11.6,9.8,4.9,20.0,7.2,3.9,0.1,22.1,7.0,9.7,4.5,6.0,3.4,16.3,0.9,41.0,2.4,15.3,8.2,9.2,47.9,15.7,8.7,4.6,2.4,8.3,3.8,1.7,0.0,16.3,5.6,5.2,3.1,0.5,5.1,6.5,18.4,1.2,30.1,2.2,13.1,7.7,10.2,32.9,10.2,2.9,5.2,2.6,11.7,3.3,2.2,0.0,5.8,1.3
Mexico,945.0,913.9,60.7,1380.8,487.4,2392.1,188.1,3507.6,413.6,2587.3,1480.8,1573.1,3539.8,950.6,2026.2,1212.3,391.3,1519.1,1165.6,403.3,31.8,2247.5,1781.5,577.8,513.2,765.3,236.7,1114.8,93.6,1810.2,204.6,1413.2,640.7,767.4,2014.6,496.0,1312.5,569.6,181.1,625.9,609.3,180.3,17.5,1670.7,1518.5,367.2,400.7,60.7,615.6,250.7,1277.3,94.5,1697.4,209.0,1174.1,840.1,805.6,1525.2,454.6,713.7,642.7,210.2,893.3,556.3,222.9,14.4,576.7,262.9
Micronesia (Federated States of),2.8,2.0,0.1,3.4,0.8,2.4,0.0,2.3,0.3,1.8,0.9,1.2,5.8,1.6,0.8,1.3,0.4,1.1,1.3,0.1,0.0,2.0,1.1,1.5,1.1,1.9,0.3,1.2,0.0,1.2,0.1,1.0,0.4,0.6,3.0,0.9,0.5,0.5,0.2,0.5,0.7,0.1,0.0,1.3,0.8,1.3,0.9,0.1,1.6,0.5,1.2,0.0,1.2,0.1,0.8,0.5,0.6,2.8,0.7,0.4,0.8,0.2,0.7,0.6,0.1,0.0,0.7,0.3
Mongolia,60.3,26.5,1.7,55.7,17.5,124.6,2.9,7.4,7.2,78.8,30.0,32.6,207.4,15.8,56.6,23.4,7.6,28.8,29.5,7.8,0.7,102.4,37.7,39.4,16.6,33.1,7.2,74.2,1.5,4.5,3.5,48.2,12.6,15.7,125.5,8.7,34.7,10.9,3.6,12.3,15.6,3.5,0.3,76.7,32.3,20.9,10.0,1.7,22.6,10.4,50.4,1.4,3.0,3.8,30.6,17.5,16.9,81.9,7.1,21.9,12.4,4.0,16.5,13.8,4.3,0.4,25.7,5.4
Montenegro,1.4,1.7,0.1,2.9,1.3,40.3,0.1,5.8,1.0,13.2,10.0,10.2,66.5,4.7,4.3,4.6,1.5,9.9,1.3,2.4,0.1,15.0,3.5,0.7,1.0,1.5,0.6,23.9,0.0,2.9,0.5,6.7,4.0,4.8,35.0,2.9,2.6,2.3,0.7,4.3,0.6,1.1,0.1,10.1,2.6,0.7,0.7,0.1,1.4,0.7,16.5,0.0,2.9,0.6,6.5,5.9,5.5,31.4,1.8,1.7,2.3,0.8,5.6,0.7,1.3,0.0,4.9,0.8
Morocco,431.0,346.9,33.1,998.9,152.3,839.4,46.0,404.6,99.9,934.5,526.1,541.0,1394.2,225.8,161.9,305.7,90.9,547.6,331.0,108.4,16.8,703.4,91.0,234.0,183.0,544.6,62.6,439.9,26.3,164.7,39.8,446.4,222.3,250.4,690.4,120.1,81.2,109.0,42.4,237.1,173.7,52.6,9.0,474.8,48.4,197.0,163.9,33.1,454.2,89.7,399.5,19.7,239.9,60.1,488.1,303.8,290.6,703.7,105.6,80.7,196.7,48.6,310.6,157.4,55.8,7.8,228.7,42.6
Mozambique,7540.1,1286.5,240.3,2541.4,546.0,850.1,22.4,120.0,133.4,527.0,228.5,301.6,672.8,181.9,245.3,152.8,139.5,186.2,484.9,38.7,45.6,1244.5,159.5,4055.3,657.3,1436.4,246.1,387.0,13.3,65.2,77.0,269.0,96.7,142.8,321.7,84.9,139.6,74.5,63.5,86.1,271.8,17.1,28.2,816.9,113.3,3484.8,629.2,240.3,1105.0,299.9,463.1,9.1,54.7,56.4,258.0,131.8,158.8,351.1,97.0,105.6,78.3,75.9,100.1,213.1,21.6,17.4,427.6,46.1
Myanmar,3056.9,1244.4,78.5,1922.6,339.3,1734.2,22.4,631.7,166.2,965.9,659.5,1184.2,2819.1,1116.9,1270.3,589.5,226.4,671.3,509.5,88.6,32.8,1769.1,467.8,1947.6,667.8,1012.8,144.4,913.8,10.5,296.3,53.3,504.5,239.4,549.4,1369.7,687.5,863.8,267.9,100.8,261.3,238.6,39.8,13.5,1042.6,242.0,1109.3,576.6,78.5,909.8,194.9,820.4,11.8,335.4,112.8,461.4,420.1,634.8,1449.5,429.4,406.5,321.7,125.6,409.9,271.0,48.8,19.3,726.4,225.8
Namibia,369.5,86.4,14.9,110.4,30.5,35.5,1.9,27.6,9.3,52.5,29.4,26.1,81.0,28.7,18.6,14.8,9.6,20.5,30.1,6.1,1.7,83.0,41.1,188.1,45.6,62.3,16.8,18.4,1.1,12.6,5.1,28.2,13.7,11.9,38.9,15.2,10.5,6.8,4.3,9.4,16.6,2.6,0.9,57.4,34.1,181.4,40.7,14.9,48.1,13.7,17.1,0.7,15.0,4.2,24.3,15.8,14.2,42.0,13.4,8.1,8.1,5.3,11.1,13.6,3.5,0.9,25.6,6.9
Nepal,1135.1,482.4,76.0,980.9,211.6,593.8,8.7,225.1,64.4,595.1,342.4,333.5,1363.0,576.8,307.1,244.7,97.2,373.3,225.1,45.6,21.0,759.9,215.9,580.5,249.0,530.4,87.6,268.7,4.8,96.5,27.3,297.6,141.7,159.5,827.1,265.4,188.4,114.3,45.2,141.7,114.9,21.6,10.3,471.1,123.5,554.6,233.4,76.0,450.5,124.0,325.1,3.9,128.6,37.1,297.5,200.7,174.0,535.8,311.3,118.8,130.3,52.0,231.6,110.2,24.0,10.7,288.8,92.4
Netherlands,52.9,88.1,1.3,53.6,15.7,1036.0,29.7,129.2,41.2,451.7,427.0,200.3,673.7,252.2,102.9,96.3,48.9,373.1,58.6,98.5,0.8,234.3,94.3,27.5,44.3,29.0,5.1,558.5,15.0,70.3,19.9,210.4,171.3,96.4,365.2,132.6,57.6,44.6,21.3,154.1,29.7,46.4,0.5,124.4,61.8,25.4,43.7,1.3,24.6,10.7,477.6,14.7,58.9,21.3,241.3,255.7,103.9,308.5,119.5,45.2,51.7,27.6,219.0,28.8,52.2,0.3,109.9,32.5
New Zealand,9.6,17.2,0.7,18.0,2.6,205.3,4.2,28.8,10.7,132.6,79.7,49.2,169.6,61.8,21.5,17.7,14.1,97.5,17.4,18.2,1.6,75.1,33.2,4.9,7.8,9.6,1.0,106.7,2.2,16.2,5.5,62.7,32.3,26.0,95.8,31.2,11.5,7.6,6.2,41.8,9.2,7.8,1.0,47.1,23.4,4.7,9.4,0.7,8.5,1.6,98.6,2.0,12.6,5.3,69.9,47.4,23.3,73.8,30.6,10.0,10.1,7.9,55.7,8.1,10.4,0.6,28.0,9.8
Nicaragua,69.0,68.4,11.8,76.8,20.8,127.9,3.1,67.6,11.6,137.1,78.4,81.3,173.1,37.3,85.7,112.7,18.0,67.0,65.2,16.1,2.4,137.0,102.7,40.5,40.3,43.4,9.6,59.5,1.4,29.4,5.2,80.1,32.3,37.5,88.6,18.3,58.7,68.4,8.5,25.5,32.5,6.8,1.3,106.9,83.3,28.6,28.0,11.8,33.4,11.3,68.3,1.6,38.2,6.4,57.0,46.1,43.8,84.6,18.9,27.1,44.3,9.5,41.5,32.7,9.4,1.1,30.1,19.4
Niger,4612.8,1975.4,352.3,2232.1,844.9,238.7,7.2,100.2,238.3,350.8,172.4,240.3,724.4,178.7,320.5,188.9,71.3,139.6,430.9,29.9,23.6,1294.2,204.5,2403.2,999.3,1214.7,406.3,110.3,4.1,45.4,92.6,183.2,82.9,118.9,369.0,95.8,190.1,104.4,32.1,65.4,200.7,14.9,15.0,838.2,145.0,2209.6,976.1,352.3,1017.5,438.6,128.4,3.2,54.8,145.6,167.6,89.5,121.3,355.3,82.9,130.3,84.4,39.2,74.2,230.3,14.9,8.6,456.0,59.5
Nigeria,47919.0,18728.9,4358.0,20339.8,5726.9,3048.9,148.7,947.2,3159.6,3791.1,2010.6,1849.3,6952.8,1600.9,4196.3,1500.7,804.0,1451.8,4137.9,187.9,213.5,9288.6,2614.3,25903.1,9845.7,11440.9,2683.4,1251.0,68.9,388.8,969.8,2131.1,953.8,900.4,3349.0,777.2,2673.4,650.9,375.0,658.5,1924.1,91.0,140.6,5818.4,1753.2,22015.9,8883.2,4358.0,8898.9,3043.6,1797.9,79.8,558.4,2189.8,1660.0,1056.8,948.8,3603.9,823.7,1522.9,849.8,429.0,793.3,2213.8,97.0,72.9,3470.2,861.1
Norway,14.8,28.6,0.4,13.4,5.7,238.0,4.8,33.0,12.1,158.6,111.7,51.3,195.3,70.7,27.2,25.4,15.2,92.7,15.9,23.8,0.6,80.7,30.3,7.6,14.4,7.5,1.9,128.0,2.5,18.9,5.7,85.9,44.1,25.3,108.8,37.1,15.1,12.7,6.7,38.9,8.5,11.1,0.4,46.4,20.3,7.2,14.3,0.4,5.9,3.8,110.0,2.3,14.0,6.4,72.7,67.6,26.0,86.5,33.6,12.1,12.7,8.5,53.8,7.4,12.7,0.2,34.3,10.0
Oman,35.8,23.2,1.2,36.0,16.3,43.8,2.5,54.1,13.6,117.5,49.3,40.3,129.1,18.0,12.8,24.4,12.6,61.9,32.5,10.7,1.1,118.1,25.2,27.0,14.6,21.1,9.1,28.4,1.7,36.5,8.5,80.2,29.3,26.1,90.9,12.2,9.0,13.5,7.9,40.5,19.3,7.4,0.6,99.1,21.5,8.9,8.6,1.2,14.9,7.2,15.5,0.8,17.6,5.1,37.2,20.1,14.2,38.2,5.8,3.8,10.9,4.7,21.4,13.2,3.2,0.5,19.0,3.7
Pakistan,11628.5,6721.7,600.6,20017.1,2210.2,4615.6,154.3,1764.7,809.6,3866.5,2065.5,2109.1,10490.8,2592.9,2572.3,1742.6,705.2,1929.1,2747.2,358.5,402.4,6250.7,1693.7,5744.1,3437.1,10581.6,881.2,2174.9,70.7,731.0,379.0,2049.3,849.3,1073.3,6189.5,1699.6,1328.5,1173.7,308.8,760.0,1486.0,183.6,238.9,3661.2,1125.9,5884.4,3284.6,600.6,9435.4,1329.0,2440.7,83.6,1033.7,430.6,1817.2,1216.1,1035.8,4301.3,893.4,1243.9,568.9,396.4,1169.0,1261.2,174.9,163.6,2589.5,567.8
Panama,78.7,36.1,4.2,51.1,14.8,96.8,5.6,50.3,9.6,75.0,48.8,53.5,121.1,38.4,28.7,30.9,12.5,44.8,41.1,12.4,0.4,67.7,61.0,50.8,20.2,28.6,6.6,49.4,3.0,24.9,5.1,39.1,22.0,26.0,74.0,20.6,17.0,16.3,6.0,18.8,21.7,5.4,0.2,52.9,54.4,27.9,15.9,4.2,22.5,8.3,47.5,2.6,25.4,4.5,35.9,26.8,27.5,47.2,17.8,11.7,14.6,6.5,26.0,19.5,7.0,0.2,14.9,6.6
Papua New Guinea,733.5,250.5,19.6,421.6,77.9,241.2,2.7,106.7,20.4,129.2,52.9,101.6,421.9,137.2,86.2,69.5,31.2,77.9,100.6,9.2,3.9,223.0,83.3,403.8,145.0,218.6,30.4,104.7,1.3,46.0,10.5,69.2,23.1,49.8,236.4,79.6,55.8,32.6,15.4,32.3,56.0,4.2,2.0,154.2,61.5,329.7,105.4,19.6,203.1,47.5,136.5,1.4,60.7,9.9,60.0,29.7,51.7,185.5,57.7,30.4,36.9,15.8,45.6,44.7,5.0,1.9,68.8,21.8
