,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Both Sexes,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Males,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females,Females
Country,Infectious and parasitic diseases,Respiratory Infectious ,Maternal conditions,Neonatal conditions,Nutritional deficiencies,Malignant neoplasms,Other neoplasms,Diabetes mellitus,"Endocrine, blood, immune disorders",Mental and substance use disorders,Neurological conditions,Sense organ diseases,Cardiovascular diseases,Respiratory diseases,Digestive diseases,Genitourinary diseases,Skin diseases,Musculoskeletal diseases,Congenital anomalies,Oral conditions,Sudden infant death syndrome,Unintentional injuries,Intentional injuries,Infectious and parasitic diseases,Respiratory Infectious ,Neonatal conditions,Nutritional deficiencies,Malignant neoplasms,Other neoplasms,Diabetes mellitus,"Endocrine, blood, immune disorders",Mental and substance use disorders,Neurological conditions,Sense organ diseases,Cardiovascular diseases,Respiratory diseases,Digestive diseases,Genitourinary diseases,Skin diseases,Musculoskeletal diseases,Congenital anomalies,Oral conditions,Sudden infant death syndrome,Unintentional injuries,Intentional injuries,Infectious and parasitic diseases,Respiratory Infectious ,Maternal conditions,Neonatal conditions,Nutritional deficiencies,Malignant neoplasms,Other neoplasms,Diabetes mellitus,"Endocrine, blood, immune disorders",Mental and substance use disorders,Neurological conditions,Sense organ diseases,Cardiovascular diseases,Respiratory diseases,Digestive diseases,Genitourinary diseases,Skin diseases,Musculoskeletal diseases,Congenital anomalies,Oral conditions,Sudden infant death syndrome,Unintentional injuries,Intentional injuries
Brunei Darussalam,1.9,2.0,0.1,2.8,0.8,12.6,0.1,6.6,1.0,8.3,4.6,3.0,13.8,3.8,1.9,3.4,1.2,5.8,2.9,1.0,0.1,8.1,1.6,1.1,1.1,1.6,0.2,6.5,0.1,3.7,0.5,4.2,1.9,1.6,8.2,2.1,1.1,1.6,0.5,2.5,1.4,0.5,0.1,5.5,1.1,0.8,0.9,0.1,1.2,0.6,6.0,0.0,2.9,0.5,4.1,2.7,1.4,5.6,1.8,0.8,1.8,0.7,3.3,1.5,0.4,0.0,2.6,0.5
Bulgaria,28.2,45.7,0.7,30.5,14.6,487.7,5.0,67.5,16.3,149.8,97.0,135.9,1250.6,110.7,120.9,71.4,17.2,129.9,25.5,33.6,0.3,193.6,37.2,16.4,27.5,16.3,6.0,289.6,2.5,33.3,7.1,72.9,41.8,60.5,685.7,69.8,84.6,36.2,7.7,53.9,13.5,14.2,0.2,126.3,28.7,11.8,18.1,0.7,14.2,8.6,198.1,2.5,34.1,9.2,76.9,55.2,75.4,564.9,40.9,36.3,35.2,9.5,76.0,12.0,19.4,0.2,67.3,8.5
Burkina Faso,3748.3,1035.2,157.4,1603.3,647.8,300.8,17.4,85.8,374.4,332.1,154.6,172.7,622.7,133.1,295.2,142.3,87.9,131.2,335.6,27.1,24.9,962.9,205.0,1859.1,531.9,913.0,309.1,121.8,10.4,44.6,124.6,170.5,70.8,79.2,295.4,63.6,160.7,68.4,38.5,57.5,162.9,12.8,16.3,584.1,140.4,1889.2,503.3,157.4,690.3,338.7,179.0,7.1,41.2,249.7,161.6,83.8,93.5,327.3,69.5,134.5,74.0,49.3,73.7,172.7,14.2,8.7,378.8,64.6
Burundi,1810.2,688.7,189.4,930.0,400.3,248.3,9.6,56.0,56.9,223.6,101.0,112.3,358.6,106.6,189.4,64.8,51.1,73.3,199.4,15.3,18.1,686.2,138.1,949.1,357.4,536.2,206.8,107.4,4.5,34.2,32.3,116.7,51.6,56.0,187.9,52.4,112.3,34.5,23.6,35.5,114.5,7.1,11.2,443.0,98.7,861.1,331.3,189.4,393.8,193.6,140.9,5.2,21.9,24.6,107.0,49.5,56.3,170.7,54.2,77.2,30.3,27.5,37.8,84.9,8.2,6.9,243.1,39.5
Cambodia,627.2,359.2,32.4,477.5,147.5,446.6,6.6,102.8,44.6,289.3,160.6,233.2,611.1,160.8,385.7,102.3,61.2,171.7,130.2,22.6,4.9,504.5,100.6,366.1,191.4,261.6,58.7,230.9,3.1,43.8,20.1,152.2,64.7,105.9,286.0,86.6,218.6,42.1,28.9,69.8,63.6,9.4,2.4,332.6,72.4,261.0,167.7,32.4,215.9,88.8,215.7,3.5,59.1,24.4,137.1,95.9,127.3,325.0,74.2,167.1,60.2,32.3,102.0,66.6,13.2,2.5,172.0,28.2
Cameroon,5114.4,1527.5,298.1,1766.1,502.4,520.5,19.6,168.6,322.5,483.7,259.5,204.7,905.5,229.2,525.4,306.0,93.5,186.5,563.6,39.5,36.3,1389.9,346.8,2579.3,844.8,1012.2,223.2,245.4,10.5,77.7,126.7,267.0,126.8,97.4,480.9,125.9,309.0,169.2,42.9,81.9,277.8,19.3,24.4,943.0,261.9,2535.1,682.7,298.1,753.9,279.2,275.2,9.1,90.9,195.8,216.7,132.6,107.3,424.6,103.3,216.4,136.7,50.6,104.6,285.8,20.2,11.9,446.9,84.8
Canada,125.5,142.0,2.1,139.3,25.1,1711.6,33.4,312.1,97.4,1063.6,729.0,394.7,1237.9,429.9,258.2,187.6,114.3,783.7,106.8,143.1,5.8,603.1,249.4,65.9,70.9,72.5,8.5,900.5,17.6,178.2,47.7,544.3,295.5,200.5,706.1,221.1,142.7,90.4,47.8,325.6,56.4,69.2,3.4,350.4,176.5,59.5,71.1,2.1,66.8,16.6,811.1,15.8,133.8,49.7,519.4,433.5,194.2,531.8,208.8,115.5,97.2,66.5,458.1,50.4,73.9,2.5,252.6,73.0
Cape Verde,11.7,8.7,0.5,9.4,5.5,10.3,0.2,3.7,1.1,11.9,5.9,5.6,22.0,3.6,4.0,4.3,1.8,4.8,6.0,1.1,0.4,10.6,5.3,6.0,4.9,5.1,2.1,4.7,0.1,1.4,0.5,6.5,2.6,2.5,10.6,1.8,2.4,2.1,0.9,2.1,2.7,0.5,0.2,7.3,4.1,5.7,3.8,0.5,4.4,3.5,5.6,0.1,2.3,0.6,5.4,3.3,3.1,11.4,1.8,1.6,2.2,1.0,2.7,3.3,0.6,0.2,3.3,1.2
Central African Republic,1602.9,392.3,76.1,575.8,174.0,91.6,4.3,28.9,31.9,104.1,43.1,72.1,197.6,52.1,84.8,35.0,17.3,41.4,97.1,8.8,7.0,261.8,171.0,802.4,196.3,316.5,91.9,41.5,2.2,16.9,15.9,54.2,16.5,35.4,97.0,23.5,50.2,17.0,7.5,19.5,55.5,4.3,4.3,171.9,128.7,800.5,196.0,76.1,259.3,82.1,50.2,2.2,12.0,16.0,49.9,26.6,36.7,100.6,28.6,34.6,17.9,9.7,21.9,41.6,4.6,2.7,89.9,42.3
Chad,3906.9,2082.3,398.9,1871.9,604.3,218.8,11.0,77.2,182.8,274.1,145.4,152.4,611.1,151.7,357.6,189.3,55.2,103.8,390.5,23.3,21.4,994.0,176.2,2050.7,1092.2,1057.5,293.8,96.4,5.5,33.5,73.4,149.0,73.3,71.3,318.1,82.2,223.8,104.3,25.0,46.8,179.8,11.2,13.9,659.9,122.9,1856.2,990.1,398.9,814.4,310.5,122.4,5.6,43.7,109.4,125.1,72.1,81.1,292.9,69.4,133.8,85.0,30.2,57.0,210.7,12.1,7.5,334.1,53.3
