Country,Dark_Years_Both,Dark_Years_Male,Dark_Years_Female
C̫te d'Ivoire,0.11538461538461546,6.0,6.700000000000003
Croatia,0.11877394636015322,8.599999999999994,9.799999999999997
Cuba,0.11518987341772145,8.399999999999991,9.899999999999991
Cyprus,0.09169764560099139,6.5,8.299999999999997
Czechia,0.12500000000000006,9.200000000000003,10.5
Democratic People's Republic of Korea,0.10152990264255926,6.100000000000001,8.599999999999994
Democratic Republic of the Congo,0.1322314049586777,7.600000000000001,8.200000000000003
Denmark,0.11576354679802962,8.599999999999994,10.200000000000003
Djibouti,0.11285266457680244,6.900000000000006,7.600000000000001
Dominican Republic,0.11292517006802717,7.499999999999993,9.200000000000003
Ecuador,0.11241830065359469,8.0,9.200000000000003
Egypt,0.1333333333333333,8.300000000000004,10.600000000000001
El Salvador,0.11126187245590234,7.299999999999997,9.099999999999994
Equatorial Guinea,0.09579831932773114,5.399999999999999,6.400000000000006
Eritrea,0.11692307692307695,6.899999999999999,8.099999999999994
Estonia,0.12339331619537268,8.400000000000006,10.699999999999989
Eswatini,0.12998266897746966,7.300000000000004,7.699999999999996
Ethiopia,0.12213740458015267,7.600000000000001,8.399999999999999
Fiji,0.1230329041487841,7.499999999999993,9.799999999999997
Finland,0.11916461916461919,8.900000000000006,10.700000000000003
France,0.11459589867310012,8.299999999999997,10.799999999999997
Gabon,0.11596385542168677,7.0,8.5
Gambia,0.12116316639741519,6.899999999999999,8.099999999999994
Georgia,0.10606060606060591,6.799999999999997,8.399999999999991
Germany,0.11604938271604945,8.5,10.299999999999997
Ghana,0.11041009463722398,6.700000000000003,7.400000000000006
Greece,0.11330049261083747,8.200000000000003,10.100000000000009
Grenada,0.11852861035422346,8.0,9.400000000000006
Guatemala,0.12295081967213115,8.200000000000003,9.799999999999997
Guinea,0.1270903010033444,7.299999999999997,8.0
Guinea-Bissau,0.13545150501672232,7.799999999999997,8.300000000000004
Guyana,0.11933534743202424,7.200000000000003,8.600000000000001
Haiti,0.1291338582677166,7.399999999999999,8.900000000000006
Honduras,0.11170212765957455,7.800000000000011,9.0
Hungary,0.12105263157894741,8.200000000000003,9.900000000000006
Iceland,0.11407766990291268,8.600000000000009,10.100000000000009
India,0.1380813953488372,8.700000000000003,10.399999999999999
Indonesia,0.1096681096681096,6.899999999999999,8.400000000000006
Iran (Islamic Republic of),0.13606340819022453,9.699999999999989,11.0
Iraq,0.15472779369627504,10.100000000000001,11.600000000000001
Ireland,0.1153374233128835,8.600000000000009,10.200000000000003
Israel,0.11421628189550416,8.599999999999994,10.100000000000009
Italy,0.11594202898550718,8.5,10.600000000000009
Jamaica,0.11973684210526309,8.299999999999997,10.0
Japan,0.11163895486935874,8.5,10.199999999999989
Jordan,0.1063257065948855,7.299999999999997,8.5
Kazakhstan,0.10829817158931078,6.899999999999999,8.599999999999994
Kenya,0.11694152923538237,7.400000000000006,8.100000000000009
Kiribati,0.12556732223903175,7.600000000000001,9.199999999999996
Kuwait,0.11363636363636365,7.6000000000000085,9.799999999999997
Kyrgyzstan,0.1106442577030813,7.0,8.799999999999997
Lao People's Democratic Republic,0.12006079027355622,7.300000000000004,8.600000000000009
Latvia,0.11733333333333329,7.600000000000001,10.099999999999994
Lebanon,0.1336828309305374,9.599999999999994,10.900000000000006
Lesotho,0.1190926275992438,6.0,6.700000000000003
Liberia,0.13354531001589823,8.100000000000001,8.799999999999997
Libya,0.13351877607788606,8.5,10.799999999999997
Lithuania,0.11866666666666674,7.800000000000004,10.200000000000003
Luxembourg,0.11893203883495158,9.0,10.899999999999991
Madagascar,0.11800302571860814,7.499999999999993,8.099999999999994
Malawi,0.12461059190031153,7.5,8.399999999999999
Malaysia,0.11553784860557773,7.900000000000006,9.5
Maldives,0.1096938775510205,7.5,10.200000000000003
Mali,0.1258620689655172,7.100000000000001,7.399999999999999
Malta,0.11411042944785273,8.299999999999997,10.0
Mauritania,0.11737089201877934,7.0,8.0
Mauritius,0.12032085561497327,7.999999999999993,9.899999999999991
Mexico,0.11618798955613567,8.200000000000003,9.600000000000009
Micronesia (Federated States of),0.1221264367816091,8.000000000000007,9.099999999999994
Mongolia,0.1131805157593123,7.100000000000001,8.700000000000003
Montenegro,0.11328125000000004,8.300000000000011,9.100000000000009
Morocco,0.14078947368421058,9.799999999999997,11.5
Mozambique,0.13144758735440928,7.400000000000006,8.399999999999999
Myanmar,0.12574850299401197,7.699999999999996,9.000000000000007
Namibia,0.1224489795918368,7.300000000000004,8.199999999999996
Nepal,0.12678062678062685,8.299999999999997,9.499999999999993
Netherlands,0.11642156862745098,8.700000000000003,10.400000000000006
New Zealand,0.11435523114355238,8.700000000000003,10.099999999999994
Nicaragua,0.11390728476821184,7.700000000000003,9.400000000000006
Niger,0.12207357859531769,7.0,7.699999999999996
Nigeria,0.11413043478260877,6.0,6.5
Norway,0.11515151515151516,8.799999999999997,10.0
Oman,0.14805194805194813,11.299999999999997,11.799999999999997
